id,logdate,weightpounds,bmi
6962181067,2016-04-12 0:00,137.79,24.39
6962181067,2016-04-13 0:00,136.91,24.24
6962181067,2016-04-14 0:00,136.03,24.1
6962181067,2016-04-15 0:00,135.58,24
6962181067,2016-04-16 0:00,136.69,24.21
6962181067,2016-04-17 0:00,135.36,23.96
6962181067,2016-04-18 0:00,134.92,23.89
6962181067,2016-04-19 0:00,135.36,23.96
6962181067,2016-04-20 0:00,136.03,24.1
6962181067,2016-04-21 0:00,135.36,23.96
6962181067,2016-04-22 0:00,135.36,23.96
6962181067,2016-04-23 0:00,135.58,24
6962181067,2016-04-24 0:00,135.58,24
6962181067,2016-04-25 0:00,136.03,24.1
6962181067,2016-04-27 0:00,134.92,23.89
6962181067,2016-04-28 0:00,134.92,23.89
6962181067,2016-04-29 0:00,135.36,23.96
6962181067,2016-04-30 0:00,134.48,23.82
6962181067,2016-05-01 0:00,136.03,24.1
6962181067,2016-05-02 0:00,135.58,24
6962181067,2016-05-03 0:00,134.48,23.82
6962181067,2016-05-04 0:00,134.7,23.85
6962181067,2016-05-05 0:00,135.14,23.93
6962181067,2016-05-06 0:00,135.58,24
6962181067,2016-05-07 0:00,134.92,23.89
6962181067,2016-05-08 0:00,134.92,23.89
6962181067,2016-05-09 0:00,137.57,24.35
6962181067,2016-05-10 0:00,136.91,24.24
6962181067,2016-05-11 0:00,136.47,24.17
6962181067,2016-05-12 0:00,136.47,24.17
8877689391,2016-04-12 0:00,189.16,25.68
8877689391,2016-04-13 0:00,187.17,25.41
8877689391,2016-04-14 0:00,186.29,25.31
8877689391,2016-04-16 0:00,188.5,25.59
8877689391,2016-04-18 0:00,189.16,25.68
8877689391,2016-04-19 0:00,188.05,25.53
8877689391,2016-04-20 0:00,187.17,25.41
8877689391,2016-04-21 0:00,186.29,25.29
8877689391,2016-04-23 0:00,188.5,25.59
8877689391,2016-04-24 0:00,188.5,25.59
8877689391,2016-04-25 0:00,188.27,25.56
8877689391,2016-04-26 0:00,187.61,25.49
8877689391,2016-04-27 0:00,188.27,25.56
8877689391,2016-04-28 0:00,187.61,25.49
8877689391,2016-04-29 0:00,187.17,25.41
8877689391,2016-04-30 0:00,188.5,25.59
8877689391,2016-05-01 0:00,188.05,25.53
8877689391,2016-05-03 0:00,187.17,25.41
8877689391,2016-05-04 0:00,186.07,25.26
8877689391,2016-05-06 0:00,187.39,25.44
8877689391,2016-05-08 0:00,188.27,25.56
8877689391,2016-05-09 0:00,188.5,25.61
8877689391,2016-05-11 0:00,188.27,25.56
8877689391,2016-05-12 0:00,185.19,25.14
